,embed,bias
56,as repjoegarcia says this isn t everything each side wants but is a point for reasonable bipartisan support to fix the broken system rep scott peters repscottpeters,0.0
57,icymi i spoke with wolfblitzer tonight about the sonyhack amp north korea adam schiff repadamschiff 201,0.0
58,hosting the colorado30 group today on the hill strengthening connections with coleaders on national defense rep doug lamborn repdlamborn,0.0
59,looking fwd to thirteensoldiers book signing tomorrow changinghands bookstore in tempe more info arizonajohn mccain senjohnmccain 2,0.0
60,today marks the 4th time in 5 years that pres obama missed the legal deadline to submit his budget plan requireaplanpete sessions petesessions 2,1.0
61,come get help w fed agencies at mobile office hrs th 11am 12 30pm acacia library 750 e townley ave phx kyrsten sinema repsinema 201,0.0
62,the obama economy just isn t cutting it for hardworking americans kevin mccarthy gopwhip,1.0
63,great to see ft monroe authority ex dir oder dr wagner amp dr koch at the state of the region presentation in hptrep bobby scott repbobbyscott 2,0.0
64,joining the foxmorningnews in roanoke just after 8am hope you ll tune in va06 rkebob goodlatte repgoodlatte,0.0
65,rt jaketapper pentagon sgt stephen new 29 of bartlett tn died july 28 in bagram after unit was attacked by small arms firebilly long auctnr1 201,0.0
66,dod secy chuck hagel reportedly in charge of bergdahl exchange claimed he doesn t know today via freebeaconrep jack kingston jackkingston,1.0
67,can it be any clearer lerner and irs were covering their tracks mario diaz balart mariodb,1.0
68,hear my recent discussion on syria with ireland s rtenews begins at 5 45 brian higgins repbrianhiggins 201,0.0
69,rt to tell president obama the buck stops with him irs irsscandal benghazisenator roy blunt royblunt,1.0
70,must read how to get a raise at mcdonald s haroldmeyerson washingtonpost strikefastfoodbernie sanders sensanders 201,1.0
71,the number of people signing up for health insurance continues to increase yvette d clarke yvetteclarke,0.0
72,rt househomeland icymi chairman mccaulpressshop on cbsthismorning on the boston bombing investigation and yesterday s hearing http _michael mccaul mccaulpressshop 2013 05,0.0
73,thanks to mayornoak and willcounty larry walsh for joining me lewisuniversity airport for today s good news rep daniel lipinski replipinski,0.0
74,thoughts amp prayers are w the families of the 3 innocent israeli teens abbas must denounce terrorism amp bring those responsible to justicenita lowey nitalowey 201,0.0
75,president obama wanted 3 things on gun control ban assault weapons limit magazine sizes and expand background checks he ll lose all 3 lindsey graham grahamblog,1.0
76,happening now ways amp means hearing w irs commissioner koskinen tune in to to hear my question re aca tax concernslynn jenkins replynnjenkins 2014 ,0.0
77,don t forget to cast your vote fl17 congressional art competition winner will hang in us capitol sayfietom rooney tomrooney,0.0
78,just about to join seanhannity s radio show at about 4 05pm et listen livetom graves reptomgraves 2,0.0
79,senate passes vawa reauthorization in vote of 78 22sen jeanne shaheen senatorshaheen,0.0
80,attending the state of the union john shimkus repshimkus,0.0
81,i m on the house floor to manage the rule for the house gop plan to keep govt open stop obamacare amp protect troops pete sessions petesessions 201,1.0
82,was an honor amp a privilege to visit amp thank wyoguard troops stationed in bahrain this 4th of july weekend sen john barrasso senjohnbarrasso 201,0.0
83,senate will be done but mess inhouse republican hardliners block strategy to avoid shutdown washingtonpostamy klobuchar amyklobuchar 2,1.0
84,icymi i talked to mydesert about how congress will have to work together to pass a strong cir bill in the houseraul ruiz congressmanruiz 2,0.0
85,parents want to know their kids are in a safe place w qualified providers ccdbg is essential 4 childcareprotectionrichard burr senatorburr,1.0
86,should utah be forced by the epa to lower ozone levels below the naturally occurring level utahpoliticohub utpolmike lee senmikelee,1.0
87, landrieu still has only about a 1 in 3 chance of winning even when her incumbent status is included lasenbill cassidy billcassidy,0.0
88, matthewwymt amp michellewymt stopped by my office earlier to talk about rxdrugabuse watch wymt at 6pm hal rogers rephalrogers 2,0.0
89,so very sad to hear about the passing of jim ragsdale he was a true professional amp a kind soul jim you will be missed greatly tim walz reptimwalz 2,0.0
90, balboa park is the only place in usa with 28 major cultural institutions w in 1 sq mile arts cc repsusandavisrep scott peters repscottpeters 2,0.0
91,photo joined world s most interesting man from america s most interesting state landmines event on cap hillsen patrick leahy senatorleahy 2,0.0
92,w ri cong delegation mayors police tenygross amp families affected by guns to present unified voice on gun safetyjim langevin jimlangevin 2,0.0
93,congrats hanscom_afb c ied team their work on detecting amp destroying ieds earned the theodore von karman awardniki tsongas nikiinthehouse 2,0.0
94,since 1970 our spending has grown 288 while the median income has grown only 24 a difference of 264 tcotmichele bachmann michelebachmann,0.0
95,mandela chg south africa chg the world inspired hearts n minds of millions of us condolences to his family n south african peoplebarbara mikulski senatorbarb,0.0
96,got a mess of oysters and clams out on sound this morning these guys have a rendezvous with white wine fresh garlic shallots and pepper jim himes jahimes,0.0
97,rt if you think america succeeds when womensucceedrep lois frankel reploisfrankel,0.0
98,tips for staying warm should you be outside this week helping clean after recent storms via the coal city courant adam kinzinger repkinzinger 2,0.0
99,rt kevinscholla my interview w repdavid schweikert on sarahnetradio huge meeting coming up w constituents _rep david schweikert repdavid 2,0.0
100,st robert community center 114 jh williamson dr in st robert 2 of 3 rep vicky hartzler rephartzler,0.0
101,joining robbhanrahancbs on face the state on cbs21news around 11 30 this morning to talk about ebola repscottperry repscottperry 2,0.0
102,in the hustle and bustle of the holidays and don t forget its also iron bowl week i know its easy to get distracted rep martha roby repmartharoby,0.0
103,great to see johnerardi says ted kremer will be reds batboy tonight speaker john boehner speakerboehner,0.0
104,celebrating usmc 239th bday at so nv marine corps ball largest non active duty ball in the world semper fi congressman joe heck repjoeheck,0.0
105,now is the time to balance the budgetdr phil roe drphilroe,1.0
106,welcome to senatebanking sen_joemanchin elizabethforma senatorheitkamp tomcoburn amp sendeanheller look fwd to working with all of you senator mike crapo mikecrapo 2,0.0
107,april is sexual assault awareness month according to rainn01 60 of sexual assaults are not reported to police standup saamrep randy hultgren rephultgren,0.0
108,house gop r focused on pro growth bills 4jobs it s time senatedems act on these bills so ppl can get back 2 workpeter roskam peterroskam,0.0
109, kerrywashington congrats on ellemagazine cover so excited for you girlpowerd wasserman schultz dwstweets,0.0
110, sfrc hearing today at 10 00 a m et with secretary kerry watch live senator bob corker senbobcorker 201,0.0
111,for 3 mos the irs failed to tell congress they couldn t provide lerner emails my speech abt need for accountability rep erik paulsen reperikpaulsen 2,1.0
112,been discussing impact aid amp military students in mascoutah 60 of students at mascoutah are affiliated w scottafbrep bill enyart repbillenyart 2,0.0
113,thanks to the pawnee county folks who turned out to the town hall meeting in larned these folks are _pat roberts senpatroberts,1.0
114, theobserver editors agree the president s admin earned their reputation for obfuscation amp disregard for failuresrep robert pittenger reppittenger 2,1.0
115,it s time the obama admin answer to the american people on benghazi four americans were murdered and no one has been held accountable mark meadows repmarkmeadows,1.0
116,rep wilson commemorates the third anniversary of the earthquake with a call to action remember haiti frederica wilson repwilson 2,0.0
117,vets groups editorials democrats agree more funding more vaaccountabilityspeaker john boehner speakerboehner 2,1.0
118,looking for job help me help residents looking for a job participate in our roundtable on unemployment call my office at 202 408 9041 eleanor h norton eleanornorton,0.0
119,traveling 6th district spent tues speaking to fwhcc amp awarding ryan esplin the tdf foundation veterans scholarshipjoe barton repjoebarton 2,0.0
120,great crowd at the town hall tonight thanks to all those who came out and asked questions john culberson congculberson,0.0
121,almost one year since the senate passed comprehensive immigration reform the timeisnow for the house to act chris van hollen chrisvanhollen,1.0
122,i am deeply concerned by and condemn the over 400 rocket attacks launched by hamas against israel rep todd rokita toddrokita,0.0
123,rt uani the only vote that counts in the iranelection today that of the unelected supreme leader ileana ros lehtinen roslehtinen 201,1.0
124, ladybigmac speakerboehner virginiafoxx reptomreed keithrothfus repkevincramer yep obama uses fed agencies against political opponentsdana rohrabacher danarohrabacher,1.0
125, gillespie_r6 let s not make the same mistake in the future by appreciating fully what happened yes let s move forward but facts matter rep donna f edwards repdonnaedwards,1.0
126,congratulations to sally jewell for being officially sworn in as the new interior secretary sen maria cantwell cantwellpress 2,0.0
127,our madeinwi economy is always cooking up something good check out madisoncollege s new culinary training center sen tammy baldwin senatorbaldwin,0.0
128,the faces of hunger are veterans children seniors and the disabled gopleader don t cut snap endhungernowdonald payne jr repdonaldpayne,1.0
129, delco county council chairman tom mcgarrigle has declared a weather related state of emergencypatrick meehan repmeehan,0.0
130,today i held an autism round table at peaceful living in new britain great dialog between local groups in the mike fitzpatrick repfitzpatrick,0.0
131,thanks onecampaign for visiting my st paul staff amp for all the great work you do fighting global poverty amp hungerbetty mccollum bettymccollum04 201,0.0
132, proddenergy here s the thing oil amp wind don t compete yet stabenow said this morning that wind needs to catch up mike pompeo repmikepompeo 201,0.0
133,i ll continue working for strong bipartisan comprehensive immigrationreform plan including dreamact w support of groups like ct4adreamrichard blumenthal senblumenthal,0.0
134,need to find most effective ways to address this addiction crisis so that people like the griffins know where to go to get helpkelly ayotte kellyayotte,0.0
135,the president must never be able to make unilateral decisions about enforcing some laws but not others dr dan benishek congressmandan,1.0
136,president obama missed this year s legal deadline to submit a budget to congress just like he has nearly every year of his presidency sen mcconnell press mcconnellpress,1.0
137, deltadiva3 one idea is to allow students to pay the same rate on govt loans as big banks which are currently about 0 75 askdemsdutch ruppersberger call_me_dutch,1.0
138,school shootings should not be our nation s norm sheila jackson lee jacksonleetx18,0.0
139,my stamement on the house passed appropriations bill bill johnson repbilljohnson 2,0.0
140,yesterday i shared janet s story on the house floor rep todd rokita toddrokita,0.0
141, sendancoats great movie andr carson repandrecarson,0.0
142,honored to spend time with employees at boeing last night to celebrate their long history of service to our country ann wagner repannwagner,0.0
143,meeting with my friend governor perry this morning who is in town to address cpacjohncornyn johncornyn,0.0
144,tune in starting 9 30am ct for live video of uss north dakota christening ceremony orsenator john hoeven senjohnhoeven 2,0.0
145,today farmington ehartford willimantic thompson hartford manchester chris murphy chrismurphyct 2,0.0
146,my sympathy and my prayers go out to the families of the victims and the quantico community rep rob wittman robwittman,0.0
147,we join together this month to commemorate black history month to honor the remarkable accomplishments and sean patrick maloney repseanmaloney,0.0
148, ryanbudget hurts everyone in this country when it comes to medicare it hurts seniors on the program now and seniors in the future sen barbara boxer senatorboxer,0.0
149,always great to see senator richard bryan homemeansnevada battleborndean heller sendeanheller,0.0
150,at the antiochpolice 47th neighborhood cleanup working to keep antioch amp ca9 cleanjerry mcnerney repmcnerney 2,0.0
151,3 arkansas counties have been designated as federal disaster areas my statement tom cotton reptomcotton,0.0
152,icymi usatoday on legislation i introduced to improve research for veterans struggling with gulf war illnessesrep mike coffman repmikecoffman,1.0
153,we re running out of time to renew the highway trust fund it s time to act paul tonko reppaultonko 2,0.0
154, athomepundit cr isnt good policy bc we cant adjust spending levels but its better than shutting down gov we shld return to regular ordersenator ben cardin senatorcardin,1.0
155,as obama talked abt infrastructure projects i heard a firsthand account of how delay of keystone negatively impacted business time2buildlynn jenkins replynnjenkins,1.0
156,enjoyed it attyabdul good chat with replarrybucshon 93wibc up next mayorballard larry bucshon md replarrybucshon 2,0.0
157,let s thank our veterans 4 their service sacrifice ceremony parade picnic tue nov 11 11amileana ros lehtinen roslehtinen,0.0
158,i hope senate dems will seriously consider this amdt amp will not throw our veterans amp unemployed under the bus richard burr senatorburr 201,1.0
159,admin reached deal w the man who bragged of advancing nukes prgrm thru deception i remain skeptical nkorea all over again ileana ros lehtinen roslehtinen,1.0
160,breaking the silence on the irs outrage via newyorkobserver irstargetingdarrell issa darrellissa 2,1.0
161,going to be talking w golfchannel about memorialtournament and my efforts for congressional gold med for goldenbear jack nicklausrob portman robportman,0.0
162,rt washingtonpost a transcript of president obama s speech marchonwashington mow50yvette d clarke yvetteclarke 2,0.0
163,mt yubasutterarts do you know a student who wants his her art displayed at the us capitol john garamendi repgaramendi,0.0
164, senrandpaul deserves an answer from obama admin questions abt use of force on u s citizens in u s rob portman robportman,1.0
165,great to meet horizonbeverage employees so glad to have them working in nhkelly ayotte kellyayotte,0.0
166,today the house voted in favor of the national flood insurance fund this protects over 1300 isaac claim payments from being delayed too rep cedric richmond reprichmond,0.0
167,apropiado q maduro ortega juntos en nicaragua ambos manipuladores d elecciones venezuela nicaragua necesitan elecciones libres ileana ros lehtinen roslehtinen,1.0
168,have a great labor day weekend indy safe travels to you and your family i hope to see you out and about in the district andr carson repandrecarson,0.0
169, dwaynebenji thank you so much dwayne cory booker corybooker,0.0
170,rt perkasieborough due to the extreme flooding callowhill street from 3rd to walkers way is currently closed mike fitzpatrick repfitzpatrick 2,0.0
171,senator obama debates president obama via wtcommunitiesjohncornyn johncornyn 2,1.0
172,it s our job to pass laws not give favors to foreign oil corporations keystonerep alan grayson alangrayson,0.0
173,at the 3rd annual foothills homeless veterans stand down thank you to the over 150 volunteers for _patrick mchenry patrickmchenry,0.0
174,thanks again to algore for making the time to speak at eedayri and icymi here is the video of his speech sheldon whitehouse senwhitehouse 2,0.0
175,was glad to welcome jason smith to congress and witness his swearing today he is an outstanding leader who will represent mo 8 well rep vicky hartzler rephartzler,1.0
176, et_disclosure i got your message dana rohrabacher danarohrabacher,0.0
177,great to be at nnedv breakfast to support efforts to end domestic violencekelly ayotte kellyayotte,1.0
178, tbt president fdr signed socialsecurity act into law otd in 1935 it s up to us to preserve amp protect it now sherrod brown sensherrodbrown 2,1.0
179,my thoughts and prayers are with those affected by the recent storms in the u s rep ed whitfield repedwhitfield,0.0
180,a gopshutdown will mean the sbagov will stop processing loans to american smallbusinesses enoughalready janice hahn rep_janicehahn,0.0
181,live on dennisdmz today at 12 45p et dennis out today christiandmz guest hosts listen live rep todd rokita toddrokita 201,0.0
182,rt ncfarmbureau farmbill 2013 voted out of senate ag committee yesterday now house ag committee on schedule to vote their version tonightstephen fincher repfinchertn08 2,0.0
183,rt j_insider kosher restaurant caters to a new newark njjn corybookercory booker corybooker 2,0.0
184,ex official claims clinton allies scrubbed benghazi docs in secret sessionsscott desjarlais desjarlaistn04,0.0
185,delaney op ed in washington post debt prioritization not rooted in financial reality bad for nation s standingrep john delaney repjohndelaney 2,0.0
186, living_rights thanks so much for checking in all is going well in this vegan journey cory booker corybooker,0.0
187,headed to whitehouse for the signing of bipartisan worker training bill to modernize our workforce development system wioafrederica wilson repwilson,1.0
188,tune in sec kerry is testifying about syria before the hascrepublicans watch brad wenstrup repbradwenstrup 2,1.0
189,the gop proposal sets no cap on interest rates amp could cost students thousands of extra dollars dontdoublemyratesenator jack reed senjackreed 2,1.0
190,we are running late heading there now the mayor vs me rt theclimatehawk we showed up at the showdown watch out for hole 6 cory booker corybooker,1.0
191,congrats to southwestair 43 yrs ago 1st flights out of dallaslovefield we luv having you serve tx27 via ccintairport amp austinairportblake farenthold farenthold 201,0.0
192,via cnn democratic senator asks obama to delay obamacare deadline fairnessforallspeaker john boehner speakerboehner 2,1.0
193,did you know i am on instagram check it out and follow me rep vicky hartzler rephartzler,0.0
194,joined by colleague congresswoman tulsi gabbard at celebrity charity classicjoyce beatty joycebeatty,0.0
195,join me senwarren mayortommenino amp rep capuano at faneuil hall boston today at 11am demandaction nomorenamesed markey markeymemo 2,0.0
196,excellent please rt wsj it was not the declaration of independence that gave us freedom but the continental army repkevinbrady repkevinbrady 201,0.0
197,but i remain concerned about the denial and insensitivity expressed in his initial response yvette d clarke yvetteclarke,1.0
198,today s supreme court action continues the march of progress towards marriageequality for all 26statestogod wasserman schultz dwstweets 2,1.0
199,here s a clip of me speaking at the gop leadership press conference this morning fairnessforallrep todd young reptoddyoung,0.0
200,find out how what happens in washington can impact youcandice miller candicemiller,1.0
201,v plsd to see cdcgov report showing childhood obesity falling in many states incl ny but we must cont to do more kirsten gillibrand sengillibrand,0.0
202, keysoffaith hmm that s odd here s another link scott desjarlais desjarlaistn04 2,0.0
203,the supreme court shall have appellate jurisdiction both as to law and fact with such exceptions darrell issa darrellissa,0.0
204,read our letter to potus on reforming the va he must lay out a vision for mending what is clearly a broken systemkevin mccarthy gopwhip 2,1.0
205,rt nrecaintl thx senmarkpryor for recognizng our ar volunteers recent work in guatemala highleyunlikely melfly1 coopsindcsenator mark pryor senmarkpryor 2,0.0
206,after a laborday picnic in eriecounty now penny amp i now visiting the waterford fairglenn gt thompson congressmangt 2,0.0
207,honored to attend today s inaugural ceremony rep bobby scott repbobbyscott,0.0
208, ghostreconlee i m a proud cosponsor of hr 3546 which would extend this critical lifeline for one year renewuidina titus repdinatitus,1.0
209,mt replindasanchez housegop shouldn t limit access to quality earlyed we should instead invest in our future dina titus repdinatitus 2,0.0
210,icymi i spoke on the senate floor today on our need for energy independence and the keystone pipeline watch tim scott senatortimscott 2,1.0
211,rt appropsdems repdavideprice continuing to slash investments in our communities is highly irrational and damaging to economy and con _david e price repdavideprice 201,1.0
212,said on nbc6 even though airstrikes r long overdue i support action though obama shouldn t circumvent congressileana ros lehtinen roslehtinen 2,1.0
213,it s 10 10 and i support hr 1010 that will raisethewage to 10 10 an hour timefor1010rep jim mcgovern repmcgovern,0.0
214,1 false lewis amp clark encountered their first grizzly bears in northdakota nationaltriviadaysen heidi heitkamp senatorheitkamp 2,0.0
215,great times at yalcon13 yalibertythomas massie repthomasmassie,0.0
216,our founders created a series of checks and balances for our democracy to prevent any branch of government from becoming too powerful eric cantor gopleader,0.0
217,since obama took office we have lost 592 000 manufacturing jobs speechesdonthirerepkevinbrady repkevinbrady,1.0
218,to honor sakia gunn s memory let s take real action for lgbtq equality amp against violence discrimination aaogcnewarkrep frank pallone frankpallone 2,0.0
219, egpvokpvalleyok actually i voted against the bca defense cuts known as sequester us rep mike turner repmiketurner,1.0
220,introduced the growth act today w dentpressshop to reform unemployment insurance while bolstering job creation mark meadows repmarkmeadows 2,1.0
221,i joined repduckworth amp a bipartisan group to introduce the mom act extending maternity leave for military mothers repronbarber repronbarber 2,1.0
222,aca requires insurers to spend 80 of premiums on medical care as a result 8 5m americans got a rebate getcoveredsenator tom carper senatorcarper,0.0
223,headed to natresources hearing on american energy jobs w mikeroweworks testifying watch live scott tipton reptipton 2,0.0
224,larry webb w city of rio rancho says conservation is big deal but low hanging fruit when it comes water alternatives nmwaterinnovationmichellelujangrisham replujangrisham,0.0
225,inspired effort by navy vs osu today proud of the midshipmen gonavyjohn mccain senjohnmccain,0.0
226,there are many resources available to those who struggle with suicidal thoughts joesenator joe donnelly sendonnelly,0.0
227,i will join tperkins on his show today at 5 25pm est 4 25pm cst you can listen here cong tim huelskamp conghuelskamp 2013 ,0.0
228,with the president continuing to abuse his power pls read my new e newsletter enforcing the law is not optional ra l r labrador raul_labrador 2,1.0
229,thanks to scituate high school s ap government class for having me today to discuss civic engagement amp the future of our state senator jack reed senjackreed 2,0.0
230,jumped off the top of a perfectly good stadium rep bill flores repbillflores,0.0
231,they ll get only longer under aca chicago area hospitals top crain s list of the longest er waits crainschicagopeter roskam peterroskam,1.0
232,enjoyed touring dell s facility in nashua this morningkelly ayotte kellyayotte,0.0
233,hancock co mtg 82ppl in garner qs abt ssnotch debt guns homeland security ptsd whtours gaymarriage termlimits cropinsur farm billchuckgrassley chuckgrassley,1.0
234, americasvoice working off left wing playbook don t agree with the version of immigrationreform they want then you are a hater marco rubio marcorubio,1.0
235,a great lunch at hotel congress in tucson one of the great historic hotels of arizonajohn mccain senjohnmccain,0.0
236,i believe that in america if you work hard amp play by the rules you should be able to get ahead paycheckfairnessbarbara mikulski senatorbarb 2,1.0
237,thnx senatorbarb mikulski senblumenthal maziehirono 4 cosponsoring the smartphone theft prevention act 1 3 of burglaries are now cells amy klobuchar amyklobuchar,0.0
238, wecanwait huffpostparents i had pen pal it s different b c real time no pause button lag time between what s said or should be said d wasserman schultz dwstweets,0.0
239,happy birthday to flotus michelle obama you ve been a fantastic first lady and wonderful leader on veterans issues andmanymoreadam schiff repadamschiff,0.0
240,am cosponsoring senatorshaheen robportman bill to increase energyefficiency across public amp private sectorskelly ayotte kellyayotte 2,1.0
241,u s veterans using federal govt s online benefits system experience glitches sound familiar david b mckinley repmckinley,1.0
242,i voted to reopen the govt put people back to work amp protect our country from an unprecedented financial crisisdina titus repdinatitus 2,0.0
243,today let us celebrate our freedoms and how blessed we are to live in this great country happy independencedayrep vicky hartzler rephartzler,0.0
244,30 years on hezbollah and its backers in iran still aim to attack our national security interests senator bob casey senbobcasey,0.0
245,creative coenergy development at edf heartland biogas proj in weldcounty shows co in driver s seat on innovation mark udall markudall,0.0
246,medicare open enrollment is underway here s what the house has done to save the program via bluebagnews oh08speaker john boehner speakerboehner 2,0.0
247,looking forward to having gabbygiffords as my guest at the sotu tonight great to you have you in the house repronbarber repronbarber,0.0
248,yes i will rt victoriafinkle crapo also said he ll keep fighting for structural change to cfpb senator mike crapo mikecrapo 2,1.0
249,thanks for sharing rt pjnet_video new pjnet video showcase entry courtesy of us house member repfinchertn08stephen fincher repfinchertn08 2,0.0
250, ianhainline every foreign born grad w a grad degree from a u s univ who stays amp works in stem creates on avg 2 6 us jobs imarchdavid e price repdavideprice 2,1.0
251,talked abt impt local nat l issues w univision airs 2nite at 6 30pm on miami ch 23 ileana ros lehtinen roslehtinen,0.0
252,icymi yesterday i voted for the enforce the law act to restore balance to the separation of powers larry bucshon md replarrybucshon 2,1.0
253,great to be at lincoln electric and proud to have such a successful company headquartered in ne ohio and oh14 dave joyce repdavejoyce,0.0
254,via wsj obama s energy taxes and mandates that will ensure fewer jobs still lower incomes and slower growth ken calvert kencalvert 2,1.0
255, cfpb study confirms need to prevent medical debt unfairly harming consumers credit scores senator jeff merkley senjeffmerkley 2,1.0
256,standing w furloughed fed workers in rain who want congress to do our jobs so they can do theirs gopshutdownu s rep mark pocan repmarkpocan,1.0
257,rt senatedems almost 270 000 veterans would benefit if the house took up and passed the senate s renewui bill paul tonko reppaultonko,1.0
258,cbo confirms what we knew obamacare will destroy millions of full time jobs this law is a trainwreck senator roy blunt royblunt 2,1.0
259,congrats to the congressional art competition winners from ca43 christopher lizama adrian sanchez soohyun park amp adilah trimble maxine waters maxinewaters 201,0.0
260,enjoyed meeting w folks from provcm to discuss the educational amp economic benefits of museums senator jack reed senjackreed 2,0.0
261, 2million americans have lost much needed unemployment insurance it s time to renewuipaul tonko reppaultonko,0.0
